filename,weight
001.jpg,12280
002.jpg,7500
003.jpg,1980
004.jpg,17670
005.jpg,3450
006.jpg,5230
007.jpg,1980
008.jpg,7500
009.jpg,850
010.jpg,2040
011.jpg,3030
012.jpg,22190
013.jpg,2610
014.jpg,2480
015.jpg,4320
016.jpg,14890
017.jpg,4910
018.jpg,1530
019.jpg,5940
020.jpg,4630
021.jpg,21430
022.jpg,9200
023.jpg,17730
024.jpg,6420
025.jpg,6420
026.jpg,5630
027.jpg,4340
028.jpg,11900
029.jpg,22050
030.jpg,2970
031.jpg,5250
032.jpg,4920
033.jpg,26300
034.jpg,280
035.jpg,1280
036.jpg,20060
037.jpg,24590
038.jpg,21560
039.jpg,4150
040.jpg,18170
041.jpg,15570
042.jpg,14230
043.jpg,15570
044.jpg,11810
045.jpg,6840
046.jpg,12600
047.jpg,2570
048.jpg,7490
049.jpg,4760
050.jpg,21190
051.jpg,8530
052.jpg,12540
053.jpg,8210
054.jpg,24860
055.jpg,11220
056.jpg,7040
057.jpg,14230
058.jpg,3070
059.jpg,5070
060.jpg,19100
061.jpg,11650
062.jpg,18560
063.jpg,7130
064.jpg,9950
065.jpg,8140
066.jpg,15530
067.jpg,1170
068.jpg,8710
069.jpg,4870
070.jpg,5750
071.jpg,16840
072.jpg,23560
073.jpg,3100
074.jpg,8080
075.jpg,7910
076.jpg,1750
077.jpg,10720
078.jpg,9900
079.jpg,6560
080.jpg,6250
081.jpg,10090
082.jpg,6810
083.jpg,4660
084.jpg,17970
085.jpg,2930
086.jpg,5530
087.jpg,19670
088.jpg,14760
089.jpg,9620
090.jpg,14270
091.jpg,1900
092.jpg,19750
093.jpg,12520
094.jpg,13400
095.jpg,25350
096.jpg,18910
097.jpg,4880
098.jpg,19280
099.jpg,5200
100.jpg,14690
101.jpg,17920
